language	gold_label	sentence1	sentence2	promptID	pairID	genre	source_dataset
es	neutral	Un día, la tecnología que hoy crea un mercado para visionarios será tan mundana como las bombillas.	La tecnología es aburrida si no se está cambiando continuamente.	2071_xnli.dev	6213_xnli.dev	slate	xnli.dev
es	neutral	Además, pocas administraciones postales le pagan a sus empleados una prima salarial tan grande como la de los EE. UU.	En muchos países, los empleados postales ganan menos de cinco dólares por día.	1357_xnli.dev	4069_xnli.dev	government	xnli.dev
es	neutral	Pero, de repente, nos llamaron para mirar lo que estaba volando.	Se suponía que debíamos mirar el avión.	53_xnli.dev	157_xnli.dev	facetoface	xnli.dev
es	neutral	12HEI patrocinó en varias ciudades el Estudio Nacional sobre la Morbilidad, Mortalidad y Aire Contaminado (NMMAPS, por sus siglas en inglés).	12HEI tiene una relación directa con la contaminación del aire.	1336_xnli.dev	4007_xnli.dev	government	xnli.dev
es	entailment	No me importa si no sabes nada de esto.	No me preocupa si no sabes nada al respecto.	162_xnli.dev	486_xnli.dev	facetoface	xnli.dev
es	contradiction	No explotaría sin el gatillo.	No hay gatillo para disparar.	145_xnli.dev	435_xnli.dev	facetoface	xnli.dev
es	entailment	Pregúntele a su agencia de viajes por detalles de los próximos programas, y reserve con anticipación cuando sea posible.	Es mejor reservar pronto.	1238_xnli.dev	3713_xnli.dev	travel	xnli.dev
es	entailment	¿Dejarás de hablar de motín y traición y consejo de guerra? Blood se puso su sombrero, y se sentó sin invitación.	Blood tenía un sombrero que llevaba puesto antes de sentarse.	787_xnli.dev	2359_xnli.dev	fiction	xnli.dev
es	contradiction	En un principio, esta propuesta provocó algunas burlas por parte de los analistas cuyo desprecio por Forbes es bastante obvio.	Forbes solo tiene seguidores.	2173_xnli.dev	6517_xnli.dev	slate	xnli.dev
es	neutral	La misma insinuación de que Hillary Rodham Clinton podría tener algo que aprender de la Princesa Diana fue lo suficientemente intrigante como para hacerme hacer clic en Hillary y Di de Margaret Carlson.	La princesa Diana era mucho mejor persona que Hillary Clinton.	2205_xnli.dev	6615_xnli.dev	slate	xnli.dev
es	neutral	ahora bien este es uno de los mejores disuasores para los ladrones, el vecino ruidoso y si ese vecino tiene un perro ruidoso ese también es un disuasor porque saben que ese perro ladrará.	A los ladrones no le gustan los perros porque son ruidosos y suelen morderles.	358_xnli.dev	1072_xnli.dev	telephone	xnli.dev
es	entailment	Alternativo no debe usarse en lugar de sustituto.	No es apropiado usar alternativas para referirse a alternativas.	2251_xnli.dev	6751_xnli.dev	verbatim	xnli.dev
es	contradiction	Creo que por eso lo recuerdo.	No lo recuerdo en absoluto.	63_xnli.dev	187_xnli.dev	facetoface	xnli.dev
es	neutral	Considere esta figura en el descubrimiento del hecho de que el diccionario más grande de inglés, ahora agotado, tenía 600,000 o más entradas, incluidas muchas formas obsoletas.	El diccionario más grande tenía más de 600,000 entradas.	2355_xnli.dev	7063_xnli.dev	verbatim	xnli.dev
