language	gold_label	sentence1	sentence2	promptID	pairID	genre	source_dataset
es	neutral	Entonces, también en los trópicos cubanos, acaba de haber un día tan bello como la gloria, frío como la tumba.	Siempre está por encima de 80 en Cuba.	2194_xnli.dev	6582_xnli.dev	slate	xnli.dev
es	contradiction	Ejecutar silencioso, correr profundo, ejecutar la respuesta	Correr mientras se hace ruido.	2027_xnli.dev	6079_xnli.dev	slate	xnli.dev
es	neutral	Hacen que sea más difícil atacar los objetivos con éxito e impiden los ataques, lo que hace que sea más probable la captura.	Sabían que hacer que los objetivos fueran más difíciles conduciría a una mayor tasa de capturas.	1542_xnli.dev	4624_xnli.dev	nineeleven	xnli.dev
es	contradiction	¿Por qué la solución consistente es la solución correcta?	Es obvio que la solución uniforme siempre está equivocada.	2092_xnli.dev	6274_xnli.dev	slate	xnli.dev
es	contradiction	No quiero entrar en la Tercera SS que es el Tercer Escuadrón de Apoyo Estratégico.	No podía esperar para entrar en el Third SS.	96_xnli.dev	286_xnli.dev	facetoface	xnli.dev
es	entailment	Los delitos graves disminuyen, pero los asesinatos aumentan.	Ha habido un aumento en asesinatos.	2429_xnli.dev	7287_xnli.dev	verbatim	xnli.dev
es	neutral	Por ejemplo, algunos tienen derivaciones claramente eliminadas del equipo usado o de la pista en la que se celebró la partida.	Esto sucede a menudo cuando se crea un deporte utilizando equipos existentes de otros deportes.	2309_xnli.dev	6927_xnli.dev	verbatim	xnli.dev
es	neutral	Fue ella ahora la que la defendía, su voz temblaba con indignación.	La mujer ya había tenido bastante de su mal comportamiento.	820_xnli.dev	2458_xnli.dev	fiction	xnli.dev
es	neutral	Hay un detalle de las bromas sureñas que ha invertido sus asociaciones de clase.	Japes del sur tiene una población de cinco mil en el verano y dos mil en el invierno.	2013_xnli.dev	6037_xnli.dev	slate	xnli.dev
es	contradiction	La tecnología, aunque supuestamente indispensable, nos ha hecho ir a la velocidad de la luz.	La tecnología no ha hecho nada para ayudarnos.	1990_xnli.dev	5970_xnli.dev	letters	xnli.dev
es	neutral	Los resultados franceses fueron básicamente llenar dieciocho millones de prescripciones para fen phen en los Estados Unidos el año pasado.	Millones de personas tomaron un medicamento dietético que les hizo perder 20 libras cada una.	2234_xnli.dev	6700_xnli.dev	slate	xnli.dev
es	contradiction	Jeremy Pitt respondió a la risa con una palabrota.	Jeremy Pitt respondió a la burla con una risita y lanzando un gancho hacia la cara del hombre que se reía.	754_xnli.dev	2260_xnli.dev	fiction	xnli.dev
es	contradiction	Segundo, el departamento de urgencias es un entorno con un ritmo rápido en el que los profesionales no pueden sacar tiempo fácilmente para llevar a cabo unas intervenciones breves por el alcohol, aunque cuenten con la formación, las destrezas y el deseo de hacerlo.	El ED no tiene prisa y es relajado.	1323_xnli.dev	3967_xnli.dev	government	xnli.dev
es	entailment	Durante los años escolares de preescolar y primaria, pensé que está muy enlazado al aquí y ahora.	Los niños de preescolar piensan principalmente en el día de hoy.	624_xnli.dev	1872_xnli.dev	oup	xnli.dev
es	entailment	Se requeriría a los abogados financiados por LSC que den seguimiento a la ubicación geográfica de sus clientes y que se retiren de los casos si sus clientes extranjeros abandonan los Estados Unidos.	A algunos abogados les paga el LSC.	1301_xnli.dev	3902_xnli.dev	government	xnli.dev
es	entailment	En el centro de la plaza se encuentra el granito Weltkugelbrunnen (o Fuente del Mundo) de Joachim Schmettau, que los lugareños han bautizado alegremente como la bola de masa hervida acuática.	Weltkugelbrunnen está hecho de granito.	1073_xnli.dev	3219_xnli.dev	travel	xnli.dev
es	entailment	Por el contrario, si los nuevos precedentes nunca se extienden, la ley común difícilmente podría evolucionar.	La ley hace tiempo que está en vigor.	639_xnli.dev	1917_xnli.dev	oup	xnli.dev
es	neutral	Lo más importante es el hecho de que asistir a una representación en el IRT no es solo una excursión.	Para poder disfrutar plenamente de una actuación en el IRT, con antelación debe prestar mucha atención y estudiar el rendimiento y su historia.	1757_xnli.dev	5271_xnli.dev	letters	xnli.dev
es	neutral	Los delitos graves disminuyen, pero los asesinatos aumentan.	Ha habido un aumento en los asesinatos porque un asesino en serie anda suelto.	2429_xnli.dev	7286_xnli.dev	verbatim	xnli.dev
es	neutral	Incluso si se le permitiera retirarse, esto no exime al abogado de sus obligaciones éticas con/para su cliente, ni de eventuales reclamaciones por negligencia.	A nivel nacional, los abogados se retiran de solo el cinco por ciento de todos los casos.	1373_xnli.dev	4118_xnli.dev	government	xnli.dev
es	neutral	Busque la condescendencia, el sentimentalismo, la ironía (con opciones por separado para intencionales y no intencionales), el proxenetismo, el oscurantismo y los juegos de palabras.	La ironía intencional es más común que la ironía involuntaria.	2198_xnli.dev	6592_xnli.dev	slate	xnli.dev
es	contradiction	Una forma de encontrar la respuesta es comenzar con otra ¿Cuánto valía la información de Ames para los soviéticos?	No hay manera de llegar a la respuesta.	2085_xnli.dev	6254_xnli.dev	slate	xnli.dev
es	contradiction	Entonces Shannon tomó el logaritmo del volumen en el espacio de mensaje ocupado por un mensaje y lo multiplicó por la probabilidad de que ese mensaje se enviara desde la fuente.	Shannon ignoró el mensaje.	705_xnli.dev	2115_xnli.dev	oup	xnli.dev
es	contradiction	¿Y cómo se denominó Kermit a una cosa tan fría e inhumana como un protocolo de telecomunicaciones para transferir archivos entre un ordenador central y una microcomputadora?	El protocolo de telecomunicaciones Kermit se trata de un método de conversación entre Facebook Messenger y WhatsApp.	2419_xnli.dev	7256_xnli.dev	verbatim	xnli.dev
es	entailment	El final del capitalismo de las plantaciones podría haber llegado con seguridad como la desaparición del comunismo en Europa.	El capitalismo de plantaciones ha terminado.	593_xnli.dev	1777_xnli.dev	oup	xnli.dev
es	contradiction	Intuitivamente, el flujo ligeramente convergente en el espacio de estados permite clasificación cuando dos estados convergen en un único estado sucesor, esos dos estados se han clasificado como equivalentes por la red.	El flujo de convergencia evita la clasificación.	528_xnli.dev	1584_xnli.dev	oup	xnli.dev
es	entailment	Su relación con ella permaneció cercana durante su tiempo en EE. UU.	Pasó tiempo en los Estados Unidos.	1682_xnli.dev	5046_xnli.dev	nineeleven	xnli.dev
es	neutral	No es posible conocer la extensión o dirección de la tendencia en el cambio de incidencia total basado en la aplicación general de una sola función C-R en cualquier parte.	No puede saber cuánto prejuicio existe porque es difícil separarse de otras influencias externas.	1284_xnli.dev	3851_xnli.dev	government	xnli.dev
es	neutral	Los recursos que estamos solicitando para el año fiscal 2002 son críticos para mantener nuestro alto nivel de desempeño y servicio al Congreso.	Estamos solicitando los $ 3 mil millones que necesitamos.	1341_xnli.dev	4021_xnli.dev	government	xnli.dev
es	contradiction	Por el contrario, si los nuevos precedentes nunca se extienden, la ley común difícilmente podría evolucionar.	Las nuevas leyes son originales.	639_xnli.dev	1915_xnli.dev	oup	xnli.dev
