language	gold_label	sentence1	sentence2	promptID	pairID	genre	source_dataset
es	entailment	Fuera del teatro, los artistas del IRT van directamente al aula para trabajar con niños y presentarlos más personalmente al mundo del teatro.	Los artistas de IRT ayudan a los niños en las escuelas.	1972_xnli.dev	5915_xnli.dev	letters	xnli.dev
es	contradiction	Necesito que hagas algo por mí.	No necesito ninguna ayuda.	42_xnli.dev	124_xnli.dev	facetoface	xnli.dev
es	neutral	Hay una horca esperando a este granuja en Port Royal. La sangre habría intervenido, pero Lord Julian se lo impidió.	Entre los dominios de Lord Julián está Port Royal, una ciudad comercial que es un centro de actividades de la región.	776_xnli.dev	2327_xnli.dev	fiction	xnli.dev
es	contradiction	Hoy en día se llama Parque del Templo del Cielo (Tiantan Gongyuan).	El Templo del Parque Heaven se quemó.	1207_xnli.dev	3621_xnli.dev	travel	xnli.dev
es	contradiction	Al parecer, Paul considera que Alan Greenspan es un ideólogo que controla de verdad la tasa de desempleo según los dictados de alguna teoría económica.	Paul nunca ha oído hablar de Alan Greenspan ni de sus teorías económicas.	2028_xnli.dev	6083_xnli.dev	slate	xnli.dev
es	neutral	Con la palabra ABIERTO en platino, ¿por qué no un letrero de CERRADO de neón?	El signo de ABIERTO está en el bordillo delantero.	2005_xnli.dev	6014_xnli.dev	slate	xnli.dev
es	contradiction	También ordenó al secretario Rumsfeld desarrollar un plan militar contra los talibanes.	Nadie ordenó el desarrollo de un plan militar.	1666_xnli.dev	4997_xnli.dev	nineeleven	xnli.dev
es	entailment	También significaba que había un vínculo entre Khallad y Mihdhar, lo que hacía que Mihdhar pareciera aún más sospechoso.	Khallad fue asociado con Mihdhar.	1581_xnli.dev	4742_xnli.dev	nineeleven	xnli.dev
es	contradiction	El primer equipo de la NYPD ESU entró en el vestíbulo del West Street de la North Tower y está preparado para empezar a escalar alrededor de las 9:15 A.M.	El Departamento de Policía de Nueva Yor no respondió a la Torre Norte hasta después de las 10:00 a. m.	1747_xnli.dev	5239_xnli.dev	nineeleven	xnli.dev
es	neutral	Un día, la tecnología que hoy crea un mercado para visionarios será tan mundana como las bombillas.	La tecnología es aburrida si no se está cambiando continuamente.	2071_xnli.dev	6213_xnli.dev	slate	xnli.dev
es	entailment	Por lo general, se necesita tiempo adicional para desarrollar el plan de acción.	Normalmente necesitan más tiempo para crear el plan de acciones.	1426_xnli.dev	4278_xnli.dev	government	xnli.dev
es	entailment	Mi género es interesante pero realmente no es el tema de la historia aquí.	La historia trata un tema que no está basado totalmente en género.	2178_xnli.dev	6534_xnli.dev	slate	xnli.dev
es	contradiction	Junto al puerto de cruceros se encuentra Flag Hill, que se eleva 700 pies (214 metros) por encima del nivel del mar.	Flag Hill está por debajo del nivel del mar.	1224_xnli.dev	3672_xnli.dev	travel	xnli.dev
es	contradiction	7), y aquellos con baja demanda (una media de 1300 unidades a la semana) y alta variación de demanda (Cv = 1,3).	El grupo de baja demanda tiene un promedio de menos de trescientos.	739_xnli.dev	2216_xnli.dev	oup	xnli.dev
