language	gold_label	sentence1	sentence2	promptID	pairID	genre	source_dataset
es	entailment	La escasez de trabajadores de TI capacitados en el entorno actual del mercado, suele ser una razón importante para que las organizaciones líderes externalicen estos servicios.	No hay suficientes trabajadores de IT para cubrir los puestos de trabajo.	1282_xnli.dev	3846_xnli.dev	government	xnli.dev
es	neutral	Durante este año fiscal y el siguiente, la escuela de derecho deberá absorber las reducciones según la apropiación estatal y unos mayores costes sanitarios, con un total de más de 400 000 $.	La facultad de derecho fue el primer programa en sufrir recortes presupuestarios.	1995_xnli.dev	5985_xnli.dev	letters	xnli.dev
es	neutral	Es el deber de un CIO gestionar las expectativas y ayudar a asegurar que todos los miembros de una organización CIO comprenda con claridad sus responsabilidades.	El CIO debe comunicarse frecuentemente con los miembros para delinear sus responsabilidades.	1276_xnli.dev	3828_xnli.dev	government	xnli.dev
es	contradiction	El aumento de la población es como la polución a la inversa.	No hay relación entre el crecimiento de la población y la contaminación.	2048_xnli.dev	6144_xnli.dev	slate	xnli.dev
es	contradiction	Y en cuanto a los retos, ahora mismo estoy buscando una palabra que pueda ser cortada en dos formas más pequeñas sucesivamente.	He encontrado tres palabras que se pueden cortar en dos formas sucesivamente más pequeñas.	2310_xnli.dev	6928_xnli.dev	verbatim	xnli.dev
es	contradiction	El crecimiento económico es parte fundamental de la creatividad del universo como un todo.	El crecimiento económico es un monstruo de un tipo muy particular; una entidad independiente del universo.	681_xnli.dev	2041_xnli.dev	oup	xnli.dev
es	contradiction	En el panorama de la aptitud física, la imagen, la mutación, la recombinación y la selección pueden confubularse para atraer a las poblaciones en evolución hacia los picos de una buena forma física.	No hay factores que ayuden a las poblaciones en evolución a alcanzar mayores niveles de adecuación.	712_xnli.dev	2136_xnli.dev	oup	xnli.dev
es	entailment	Sin embargo, el USDA argumenta que lo que se necesita es más poder de aplicación, y con ese fin, está avanzando un proyecto de ley diseñado para ampliar su autoridad.	El USDA dice que necesitan una fuerza mayor.	2061_xnli.dev	6182_xnli.dev	slate	xnli.dev
es	entailment	Steve, ni siquiera he podido quitarte tu billetera; respondió Hatch.	Hatch bromeó que ni siquiera podía levantar la billetera de Steve.	2032_xnli.dev	6096_xnli.dev	slate	xnli.dev
es	neutral	um, no hay nada de malo con ser un padre que da todo lo que tiene a uh a uh una persona como uh como como tú	Está bien que los padres respalden a sus hijos hasta que puedan hacer las cosas solos.	454_xnli.dev	1361_xnli.dev	telephone	xnli.dev
es	neutral	Es necesaria la asociación de un fondo privado y fondos propios de la Universidad para que nuestra facultad de derecho continúe creciendo tanto en tamaño como en influencia.	Nuestra Facultad de Derecho cuenta con el respaldo, en parte, de la Fundación Melinda y Bill Gates.	1756_xnli.dev	5267_xnli.dev	letters	xnli.dev
