language	gold_label	sentence1	sentence2	promptID	pairID	genre	source_dataset
en	entailment	They took Joe with them, and my Granny said, she said it was such a sad time in the house because, you know, everybody was missing Joe and they didn't know what to do.	Everyone in the house was moping because they missed Joe so much.	89_xnli.dev	265_xnli.dev	facetoface	xnli.dev
en	neutral	Thus, it is possible to pick out the necessary morsels of information in noisy surroundings, if facial expressions, gestures and other contextual clues are taken into account.	You can understand what is being communicated by facial expressions and hand gestures even when you can't hear what is being said.	2384_xnli.dev	7152_xnli.dev	verbatim	xnli.dev
en	entailment	For this fiscal year and next, the law school is required to absorb reductions in its state appropriation and increased health costs totaling more than $400,000.	The law school has to deal with budget cuts.	1995_xnli.dev	5983_xnli.dev	letters	xnli.dev
en	neutral	The wonderful connections formed each day are made possible through the support of Society operations.	The Society helps people find people who are also interested in the arts.	1988_xnli.dev	5964_xnli.dev	letters	xnli.dev
en	entailment	McCoy invites the support of The __ Company Foundation in the amount of $10,000.	McCoy is requesting $10,000 worth of support.	1942_xnli.dev	5825_xnli.dev	letters	xnli.dev
en	entailment	Air pollution levels below the threshold for each health effect studied are assumed not to cause the effect.	There is a threshold in each study that determines the effect of air pollution.	1461_xnli.dev	4383_xnli.dev	government	xnli.dev
en	entailment	Your help today will enable us to strengthen further America's philanthropic heritage by expanding the Center's crucial educational, leadership and outreach programs.	You could help us expand our outreach programs.	1826_xnli.dev	5478_xnli.dev	letters	xnli.dev
en	contradiction	The wonderful connections formed each day are made possible through the support of Society operations by organizations like yours!	The connections made were made in vain no thanks to you.	1864_xnli.dev	5591_xnli.dev	letters	xnli.dev
en	neutral	The cooperation between the program and the integrity divisions is the vehicle by which emerging issues are addressed.	The two groups work together to make sure they aren't missing any important pieces.	1417_xnli.dev	4250_xnli.dev	government	xnli.dev
en	neutral	the latest contract that was awarded Virginia sued or has got a lawsuit against uh Gratin to stop construction because it was unfairly obtained or something like that you know	The contracts have raised lots of red flags with the lawyers.	500_xnli.dev	1499_xnli.dev	telephone	xnli.dev
en	neutral	Air pollution levels below the threshold for each health effect studied are assumed not to cause the effect.	Air pollution levels can cause hazardous health effects depending on the threshold.	1461_xnli.dev	4382_xnli.dev	government	xnli.dev
en	entailment	Rational expectations grew, in part, out of an attempt to understand actual trading on stock exchanges.	People were trying to learn about trading on stock exchanges.	583_xnli.dev	1749_xnli.dev	oup	xnli.dev
en	neutral	The presence of Bugsy Siegel and Kid Twist in our recent history does not mean we are a tough people.	The presence of these rappers in our history doesn't guarantee we are tough.	2153_xnli.dev	6459_xnli.dev	slate	xnli.dev
en	neutral	Steve, I couldn't even lift your wallet, Hatch shot back.	Hatch angrily said that he couldn't even lift Steve's wallet.	2032_xnli.dev	6094_xnli.dev	slate	xnli.dev
en	contradiction	It was she now who was on her defence, her voice quivering with indignation.	The woman was so delighted that she was speechless!	820_xnli.dev	2460_xnli.dev	fiction	xnli.dev
en	contradiction	The flashes of wisdom should not be overlooked,	The flashes of wisdom are of no importance.	2441_xnli.dev	7321_xnli.dev	verbatim	xnli.dev
en	neutral	yeah i always said if i died well i always said if i died i'd come back as a dog that'd be the best way to be	I think most people who die come back as animals.	496_xnli.dev	1487_xnli.dev	telephone	xnli.dev
en	neutral	As you pass through them you may see an old chimney breaking above the tree line, a sure sign that the village was once part of a hacienda.	The chimney, among other things, indicate the village used to be part of a hacienda.	1106_xnli.dev	3317_xnli.dev	travel	xnli.dev
en	contradiction	Thus, it is possible to pick out the necessary morsels of information in noisy surroundings, if facial expressions, gestures and other contextual clues are taken into account.	Clear verbal communication is the only way to gain information	2384_xnli.dev	7150_xnli.dev	verbatim	xnli.dev
en	contradiction	But they have one private, hidden name which remains a family secret.	A member of the family published a book and revealed all of the family secrets.	2321_xnli.dev	6961_xnli.dev	verbatim	xnli.dev
en	entailment	Technology, although seemingly indispensable, has caused us to go into hyperspeed.	Technology has made us speed up.	1990_xnli.dev	5969_xnli.dev	letters	xnli.dev
en	entailment	We have beginning mathematical models that reveal something about this hierarchical organizationa=aalthough the best current models are curiously limited despite their brilliance.	The current models are brilliant but limited.	577_xnli.dev	1730_xnli.dev	oup	xnli.dev
en	neutral	We look forward to your continued support and working even more closely with you and your staff this year and in fiscal year 2002.	We worked closely with seven different employees this year.	1377_xnli.dev	4130_xnli.dev	government	xnli.dev
en	contradiction	Which aspect of our foreign policy does Richard Clarke most fear will be abandoned--standing around while civilians are slaughtered in Rwanda or standing around while civilians are slaughtered in Kosovo?	Clarke knows everything will be fine.	2161_xnli.dev	6483_xnli.dev	slate	xnli.dev
en	entailment	Words that do not fit cannot be returned.	Some words do not fit.	2467_xnli.dev	7401_xnli.dev	verbatim	xnli.dev
en	contradiction	This is a demand curve, conditional on the constraint that the discount remains the same, under which condition no mailers will shift to workshared.	The demand curve isn't dependent on anything.	1385_xnli.dev	4154_xnli.dev	government	xnli.dev
en	neutral	After repeatedly demanding that Sudan stop supporting terrorist groups, in 1993 the U.S. government designated the country a state sponsor of terrorism.	Sudan supported terrorists with cash payments and training.	1690_xnli.dev	5068_xnli.dev	nineeleven	xnli.dev
en	contradiction	Special coupons are handed out aggressively on the beaches during the day, in hopes of luring the biggest crowd that night.	Coupons are given out on the beach at night, hoping for customers the next day.	1153_xnli.dev	3457_xnli.dev	travel	xnli.dev
en	entailment	Words are, generally speaking, old.	Most words tend to be fairly old.	2367_xnli.dev	7099_xnli.dev	verbatim	xnli.dev
en	entailment	Tuesday, Bush warned, Too often, on social issues, my party has painted an image of America slouching toward Gomorrah.	Bush warned on a weekday that his party often painted an image on social issues.	2165_xnli.dev	6494_xnli.dev	slate	xnli.dev
en	neutral	And, uh, they kind of actually stopped visiting the family because they were just, just determined that they were going to be white.	They stopped visiting the family when the racial tensions started.	13_xnli.dev	39_xnli.dev	facetoface	xnli.dev
en	neutral	The English speech is already overburdened with outlandish words that ought never to have been taken in, and ought even now to be turned out.	Experts have identified fifty different words that should not be part of the language.	2492_xnli.dev	7475_xnli.dev	verbatim	xnli.dev
en	contradiction	The dedicated professional staff, headed by Philip Zelikow, has contributed innumerable hours to the completion of this report, setting aside other important endeavors to take on this all-consuming assignment.	The team rushed through the data to get the report done quickly.	1665_xnli.dev	4994_xnli.dev	nineeleven	xnli.dev
en	entailment	At the outbreak of war, Canada's reputation for welcoming immigrants and refugees from all over the world was tarnished by the blocking of Communists and Jews from Hitler's Germany.	Canada was known for welcoming immigrants and refugees.	1127_xnli.dev	3380_xnli.dev	travel	xnli.dev
en	neutral	For this fiscal year and next, the law school is required to absorb reductions in its state appropriation and increased health costs totaling more than $400,000.	The law school was the first program to face budget cuts.	1995_xnli.dev	5985_xnli.dev	letters	xnli.dev
en	neutral	The wonderful connections formed each day are made possible through the support of Society operations by organizations like yours!	Without your organization these awesome connections would have never been formed.	1864_xnli.dev	5592_xnli.dev	letters	xnli.dev
en	entailment	22 Despite these strict legislated standards'with wage levels updated from time to time'widespread violations in apparel workplaces have become commonplace in the 1990s.	Wage levels in the apparel industry are not stagnant.	663_xnli.dev	1989_xnli.dev	oup	xnli.dev
en	neutral	Though this approach will seem quite reasonable to rationalists, it is one of the more controversial approaches to reconciling faith and reason.	It is difficult to reconcile faith and reason.	2101_xnli.dev	6302_xnli.dev	slate	xnli.dev
en	contradiction	Colder still and more distant than ever grew his lordship's voice.	His lordship spoke calmly to all giving the impression of a warm and gentle person.	874_xnli.dev	2621_xnli.dev	fiction	xnli.dev
en	contradiction	Three Japanese banks will merge to create the world's largest financial institution.	The merger will make another insignificant bank.	2130_xnli.dev	6389_xnli.dev	slate	xnli.dev
en	neutral	yeah i don't yeah well what get's me you know this thing it went down to defeat last December by how many votes by just a few hundred votes	It got voted down because people didn't want to get out and vote.	351_xnli.dev	1051_xnli.dev	telephone	xnli.dev
en	contradiction	28 In some cases longer outages are needed.	It is never necessary to have outages.	1456_xnli.dev	4366_xnli.dev	government	xnli.dev
en	entailment	The wonderful connections formed each day are made possible through the support of Society operations by organizations like yours!	Organizations just like yours are what help form fantastic connections each and every day.	1864_xnli.dev	5590_xnli.dev	letters	xnli.dev
en	neutral	28 In some cases longer outages are needed.	Sometimes you need to turn the power off for longer.	1456_xnli.dev	4368_xnli.dev	government	xnli.dev
en	contradiction	The soft, warm, children's words allow us to allay our fears about computers that crash and bomb and abort.	Children's words allay crashes, bombs and aborts on computers.	2423_xnli.dev	7267_xnli.dev	verbatim	xnli.dev
