language	gold_label	sentence1	sentence2	promptID	pairID	genre	source_dataset
en	entailment	Mine is the safe and easy way.	There is a way that is safe and easy.	867_xnli.dev	2601_xnli.dev	fiction	xnli.dev
en	contradiction	Go beyond these sights to Nathaniel Hawthorne's House of the Seven Gables.	You must not go beyond these sights.	1022_xnli.dev	3066_xnli.dev	travel	xnli.dev
en	neutral	Thank You, Sir, Could I Have Another Answer	You will need to give me five answers in total, Sir.	2084_xnli.dev	6252_xnli.dev	slate	xnli.dev
en	contradiction	The last sentence We assume, of course, that you have not submitted this essay elsewhere.	We understand that you have previously published this essay in five newspapers.	2279_xnli.dev	6836_xnli.dev	verbatim	xnli.dev
en	neutral	One can also find some definitions here and there that are not entirely wrong yet with which one might disagree.	A definition may be technically correct yet have two or more interpretations that people would argue about.	2431_xnli.dev	7291_xnli.dev	verbatim	xnli.dev
en	contradiction	They teach us to be resolute, relentless, and resourceful.	Being resolute, relentless, and resourceful are skills that cannot be taught, but are simply instinctual.	2378_xnli.dev	7133_xnli.dev	verbatim	xnli.dev
en	contradiction	A few hundred heroic troops under Leonidas of Sparta delayed the enormous Persian army at the pass of Thermopylae long enough for the Athenians to be evacuated to the island of Salamis.	The Spartans defeated the Persians at Thermopylae.	1067_xnli.dev	3199_xnli.dev	travel	xnli.dev
en	entailment	The Indiana Dental Association Distinguished Chair will represent the first state dental association in the country to complete such a commitment to its dental school.	Indiana is the first state dental association to work with a dental school in such a way.	1951_xnli.dev	5851_xnli.dev	letters	xnli.dev
en	entailment	To put the matter differently, I could write an essay called The Perils of Literacy or A Little Literacy Is a Dangerous Thing.	I could write a book titled The Perils of Literacy or one named A little Literacy is a dangerous Thing	2312_xnli.dev	6935_xnli.dev	verbatim	xnli.dev
en	entailment	And, therefore, the state was not responsible for these private persons denying social rights to black citizens.	Some private persons denied social rights to black citizens.	536_xnli.dev	1606_xnli.dev	oup	xnli.dev
en	entailment	The U.S. government readily provides copious information about spending on its military forces, including military intelligence.	The US government spends money on their military intelligence.	1744_xnli.dev	5231_xnli.dev	nineeleven	xnli.dev
