language	gold_label	sentence1	sentence2	promptID	pairID	genre	source_dataset
es	entailment	Sí, siempre dije que si moría, bien, siempre dije que si moría, volvería como perro que sería la mejor manera de ser	Si muero, siempre creo que seré reencarnado como un perro.	496_xnli.dev	1488_xnli.dev	telephone	xnli.dev
es	entailment	Más fría aún y más distante que nunca se alzó la voz de su señoría.	La voz del Señor parecía tanto distante como pavorosa.	874_xnli.dev	2622_xnli.dev	fiction	xnli.dev
es	neutral	Las expectativas racionales crecieron, en parte, a partir de un intento de comprender la negociación real en las bolsas de valores.	Cada vez más personas comenzaron a comerciar en bolsas de valores en línea.	583_xnli.dev	1747_xnli.dev	oup	xnli.dev
es	entailment	Y en cuanto a los retos, ahora mismo estoy buscando una palabra que pueda ser cortada en dos formas más pequeñas sucesivamente.	No me ha resultado fácil encontrar una palabra que se pueda segmentar en dos formas cada vez más pequeñas.	2310_xnli.dev	6929_xnli.dev	verbatim	xnli.dev
es	entailment	¿No es extraño que no prestemos atención a uno de los rasgos más profundos del mundo que tenemos en frente de nuestra nariz colectiva?	¿No miramos algo tan increíble?	582_xnli.dev	1745_xnli.dev	oup	xnli.dev
es	contradiction	Fue ella ahora la que la defendía, su voz temblaba con indignación.	¡La mujer estaba tan encantada que se quedó sin palabras!	820_xnli.dev	2460_xnli.dev	fiction	xnli.dev
es	neutral	La gran depresión llegó a California con fuerza.	Nadie en California tenía trabajo.	1213_xnli.dev	3639_xnli.dev	travel	xnli.dev
es	contradiction	Por lo tanto, es posible seleccionar los bocados de información necesarios en entornos ruidosos, si se tienen en cuenta las expresiones faciales, los gestos y otras pistas contextuales que se toman en cuenta.	La clara comunicación verbal es la única manera de obtener información	2384_xnli.dev	7150_xnli.dev	verbatim	xnli.dev
es	neutral	¡Las maravillosas conexiones formadas cada día son posibles gracias al apoyo de las operaciones de la Sociedad por parte de organizaciones como la suya!	Sin tu organización, estas asombrosas conexiones no se habrían llegado a formarse nunca.	1864_xnli.dev	5592_xnli.dev	letters	xnli.dev
es	contradiction	Flanqueándolo, una iglesia octagonal moderna al este y una capilla y una torre hexagonal al oeste representan el renacimiento de la posguerra de la ciudad.	El mercado representa el renacimiento de la posguerra de la ciudad.	1130_xnli.dev	3389_xnli.dev	travel	xnli.dev
es	neutral	Otros consejeros se hicieron eco de esta preocupación.	Solo un consejero no expresó su preocupación por este plan.	1509_xnli.dev	4526_xnli.dev	nineeleven	xnli.dev
es	entailment	Lo más importante es el hecho de que asistir a una representación en el IRT no es solo una excursión.	Asistir a una actuación en el IRT no es solo un paseo divertido por el parque.	1757_xnli.dev	5269_xnli.dev	letters	xnli.dev
es	neutral	El martes, Bush advirtió: Con demasiada frecuencia, en asuntos sociales, mi partido ha pintado una imagen de Estados Unidos inclinándose hacia Gomorra.	Bush no está de acuerdo con la forma en que su partido refleja el panorama.	2165_xnli.dev	6493_xnli.dev	slate	xnli.dev
es	neutral	Los cupones especiales se han entregado agresivamente en las playas durante el día, con la esperanza de atraer a la multitud más grande posible para la noche.	Los cupones se entregan en la playa, esperando clientes a largo plazo.	1153_xnli.dev	3458_xnli.dev	travel	xnli.dev
es	entailment	Las montañas robustas de Serra de Tramuntana se arrastran al mar tan marcadamente aquí que hay pocos puntos de acceso y un solo puerto y muelle de cualquier tamaño a lo largo de la costa.	Las montañas hacen que resulte difícil construir puertos.	1043_xnli.dev	3128_xnli.dev	travel	xnli.dev
es	contradiction	Que él lo haga no creo que haga la más mínima diferencia, dijo su señoría de forma grave.	Su señoría creía que cualquiera de las dos opciones habría tenido un impacto sustancial.	908_xnli.dev	2723_xnli.dev	fiction	xnli.dev
es	contradiction	Los EE. UU. no eran una fuente primaria de recursos para Al Qaueda, aunque algunos fondos recabados en los EE. UU. pudieron haber llegado a Al Qaeda o sus grupos afiliados.	No hay dudas de que Estados Unidos no le dio nada de dinero a Al Qaeda.	1644_xnli.dev	4931_xnli.dev	nineeleven	xnli.dev
es	contradiction	El descubrimiento que atrapó la imaginación del mundo entero fue realizado por James Wilson Marshall, un carpintero en el molino de John Sutter en el río American en Coloma, que está entre Sacramento y el lago Tahoe.	James Wilson Marshall no hizo nada especial.	1145_xnli.dev	3433_xnli.dev	travel	xnli.dev
es	neutral	el último contrato que se le concedió a Virginia tiene una demanda contra Gratin para que deje de construir porque se obtuvo de forma fraudulenta o algo parecido, como sabes	Los contratos han levantado muchas banderas rojas con los abogados.	500_xnli.dev	1499_xnli.dev	telephone	xnli.dev
es	entailment	Para mí, soy completamente de la opinión de Wolverstone.	Me alineé completamente con Wolverstone en este asunto.	992_xnli.dev	2975_xnli.dev	fiction	xnli.dev
es	entailment	Este es el sustento legal del abrazo nostálgico del Juez Anthony Kennedy a los derechos de los estados.	Kennedy favorece los derechos de los estados.	2043_xnli.dev	6129_xnli.dev	slate	xnli.dev
es	entailment	Louisa May Alcott y Nathaniel Hawthorne vivían en la calle Pinckney. Y Beacon Street se enorgullecía de contar con el historiador William Prescott. Oliver Wendell Holmes la apodó “la soleada calle que alberga a los pocos elegidos”.	Hawthorne vivió en Pinckney Street.	1082_xnli.dev	3246_xnli.dev	travel	xnli.dev
es	neutral	Más fría aún y más distante que nunca se alzó la voz de su señoría.	Como su señoría, él no mostró piedad con sus sujetos.	874_xnli.dev	2620_xnli.dev	fiction	xnli.dev
